IncidentID,AgencyName,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,KABCO Code,KABCO,RT_UNIQUE
3480080,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,US0060,,OWINGSVILLE,RD,38.1263082,-83.8771563,11.648,2/12/2015,426,1,1,0,0,CLOUDY,DRY,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,5,O,087-US-0060  -000
3481377,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,,LEVEE,RD,38.0238281,-83.9484432,8.069,2/13/2015,2035,2,2,0,0,CLOUDY,DRY,TRUE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,5,O,087-KY-0011  -000
3481386,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,,105,HENDERSON,RD,37.9394948,-83.8155118,0.067,2/16/2015,742,2,2,0,0,BLOWING SAND/SOIL/DIRT/SNOW,SNOW/SLUSH,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & GRADE,DAYLIGHT,5,O,087-CR-1145  -000
3481391,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,RD,38.0790818,-83.949496,7.93,2/21/2015,1357,2,2,0,0,RAINING,WET,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & GRADE,DAYLIGHT,5,O,087-US-0460  -000
3481396,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0736159,-83.9512168,0.172,2/19/2015,1802,2,2,0,0,CLEAR,SNOW/SLUSH,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
3481400,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,RICHMOND,AVE,38.0548253,-83.9475539,0.002,2/21/2015,1532,2,2,0,0,RAINING,WET,FALSE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-CS-1024  -000
3502435,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,1201,INDIAN MOUND,DR,38.0539905,-83.9564977,1.645,1/26/2015,925,2,2,0,0,SNOWING,ICE,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
3502438,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0060,,MAIN,ST,38.0570904,-83.9391304,5.296,2/2/2015,1328,2,2,0,2,CLOUDY,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,4,C,087-US-0060  -000
3502451,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0669196,-83.9552117,0.746,2/3/2015,2031,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-KY-0686  -000
3502456,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,1342,INDIAN MOUND,DR,38.0504837,-83.9564665,1.888,2/7/2015,1357,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
3502629,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0647206,-83.9450137,8.959,2/28/2015,1316,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,5,O,087-US-0460  -000
3502740,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,FALCON,DR,38.0756163,-83.9485598,0.007,3/26/2015,2057,2,2,0,0,RAINING,WET,FALSE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DUSK,5,O,087-CS-1119  -000
3503614,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.075105,-83.9486941,8.211,1/13/2015,1938,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-US-0460  -000
3505431,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,YOUNG,LN,38.0744174,-83.9515867,0.275,4/13/2015,2123,2,2,0,0,RAINING,WET,TRUE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-CS-1117  -000
3531634,"KY STATE POLICE, CVE",MONTGOMERY,KY0011,,LEVEE,RD,38.0018505,-83.9404898,6.334,1/14/2015,750,1,1,0,0,CLOUDY,ICE,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,5,O,087-KY-0011  -000
14170459,MONTGOMERY CO. SCHOOL DIST. PD,MONTGOMERY,,,HIGH,ST,38.0588207,-83.9370086,0.311,1/21/2015,1614,2,2,0,0,CLEAR,DRY,FALSE,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-CS-1052  -000
14170475,MONTGOMERY CO. SCHOOL DIST. PD,MONTGOMERY,,,CAMARGO ELEMENTARY SCHOOL,DR,37.9943657,-83.8882942,0.028,1/21/2015,700,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAWN,5,O,087-PS-1204  -000
14201424,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.070945,-83.954924,0.439,1/5/2015,1814,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-KY-0686  -000
14201440,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0673284,-83.9551704,0.716,1/5/2015,1854,2,2,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-KY-0686  -000
14266928,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,I 0064,,,,38.0766886,-83.9493435,0.193,1/23/2015,1808,2,2,0,0,"SLEET, HAIL, FREEZING RAIN",SNOW/SLUSH,FALSE,REAR END - ON RAMP,REAR END,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,5,O,087-CR-1042  -000
14267265,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0755819,-83.9487289,8.18,2/20/2015,1501,2,2,0,0,CLOUDY,WET,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-US-0460  -000
14267273,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0788808,-83.9494797,7.944,2/24/2015,848,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,5,O,087-US-0460  -000
14267283,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0665476,-83.945549,8.828,2/13/2015,1706,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DAYLIGHT,5,O,087-US-0460  -000
14270560,"KY STATE POLICE, POST 08",MONTGOMERY,KY0011,,LEVEE,RD,38.0024487,-83.9409071,6.375,1/30/2015,1913,2,2,0,0,CLEAR,DRY,TRUE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,CURVE & GRADE,DARK-HWY NOT LIGHTED,5,O,087-KY-0011  -000
14270577,"KY STATE POLICE, POST 08",MONTGOMERY,US0060,,OWINGSVILLE,RD,38.0859276,-83.8997535,8.472,1/30/2015,2009,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,OPPOSING LEFT TURN,STRAIGHT & LEVEL,OTHER,5,O,087-US-0060  -000
14270769,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0662896,-83.9454899,8.846,2/9/2015,1212,2,2,0,0,CLOUDY,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,5,O,087-US-0460  -000
14314250,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0738513,-83.9489627,0.044,1/12/2015,1552,3,3,0,0,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
14314283,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0618542,-83.9553997,1.1,1/14/2015,1803,2,2,0,0,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-KY-0686  -000
14314298,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0060,114,MAIN,ST,38.056017,-83.9438548,5.027,1/15/2015,1352,2,2,0,0,CLOUDY,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-US-0060  -000
14339589,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY1331,2451,HOWARDS MILL,RD,38.0766701,-83.8846619,1.179,1/14/2015,630,1,1,0,0,RAINING,ICE,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,5,O,087-KY-1331  -000
14339591,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,,121,MASTERSON,LN,38.0464845,-83.9810977,0.039,1/14/2015,1917,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/OFF,5,O,087-PR-1348  -000
14339595,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0580266,-83.9558529,1.364,1/17/2015,1251,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
14344404,"KY STATE POLICE, POST 08",MONTGOMERY,KY0537,,BUNKER HILL,RD,38.1594858,-84.011325,0.135,2/14/2015,1430,1,1,0,0,BLOWING SAND/SOIL/DIRT/SNOW,SNOW/SLUSH,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT,5,O,087-KY-0537  -000
14346203,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,ESTILL,TER,38.0479359,-83.9498404,0.044,2/6/2015,2237,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,CURVE & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-CS-1036  -000
14346206,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,RICHMOND,AVE,38.0538123,-83.9476399,0.072,2/21/2015,1209,2,2,0,0,SNOWING,SNOW/SLUSH,TRUE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & GRADE,DAYLIGHT,5,O,087-CS-1024  -000
14346209,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0536821,-83.9564921,1.666,2/27/2015,1334,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING RIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
14346261,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,US0060,,OWINGSVILLE,RD,38.092147,-83.8976859,8.922,2/5/2015,1508,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-US-0060  -000
14346262,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,,LEVEE,RD,37.9817565,-83.9406374,4.885,2/12/2015,1430,1,1,0,2,CLOUDY,OTHER,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,4,C,087-KY-0011  -000
14346264,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0713,,HIGH,ST,38.0580244,-83.9558378,5.795,2/16/2015,1335,2,2,0,0,SNOWING,SNOW/SLUSH,FALSE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & GRADE,DAYLIGHT,5,O,087-KY-0713  -000
14346265,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0213,,BEDFORD,RD,37.9950144,-83.8413949,6.761,2/21/2015,530,1,1,0,0,RAINING,SNOW/SLUSH,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,5,O,087-KY-0213  -000
14346268,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0213,,KY213,,37.9063666,-83.8713547,0.012,2/10/2015,141,1,1,0,0,SNOWING,ICE,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON,5,O,087-CR-1157  -000
14346273,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,US0060,,OWINGSVILLE,RD,38.0854726,-83.8999526,8.44,2/26/2015,2156,2,2,0,0,SNOWING,WET,FALSE,REAR END ON SHOULDER,REAR END,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,5,O,087-US-0060  -000
14346276,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,,MAYSVILLE,RD,38.0985603,-83.9525992,10.773,2/28/2015,1358,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0011  -000
14346277,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,I 0064,,,,38.0682089,-84.0088987,106.272,3/1/2015,310,1,1,0,1,CLEAR,DRY,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/OFF,4,C,087-I -0064  -000
14346278,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,3102,MAYSVILLE,RD,38.1107452,-83.9562922,11.646,3/5/2015,720,1,1,0,0,SNOWING,SNOW/SLUSH,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0011  -000
14346557,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,2000,LEVEE,RD,38.0312322,-83.9496192,8.581,1/3/2015,1229,1,1,0,2,RAINING,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,3,B,087-KY-0011  -000
14346560,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0655332,-83.9554933,0.848,1/3/2015,1750,2,2,0,2,RAINING,WET,FALSE,REAR END - OTHER,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,3,B,087-KY-0686  -000
14346561,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0713,7688,SPENCER,PIKE,38.0234381,-83.8125698,14.404,1/3/2015,1300,2,2,0,0,RAINING,WET,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & HILLCREST,DAYLIGHT,5,O,087-KY-0713  -000
14346563,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY1991,,HINKSTON,PIKE,38.080272,-83.9321966,1.319,1/5/2015,620,1,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,5,O,087-KY-1991  -000
14346566,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0537,,VAN THOMPSON,RD,38.1284654,-83.947552,4.787,1/7/2015,2016,1,1,0,1,CLOUDY,DRY,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & GRADE,DARK-HWY NOT LIGHTED,2,A,087-KY-0537  -000
14346569,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,,,OSBORNE,RD,38.0471252,-83.9032108,0.001,1/10/2015,2026,1,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,5,O,087-PR-1062  -000
14346570,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,,,OLD OWINGSVILLE,RD,38.0716246,-83.916551,1.078,1/10/2015,2119,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,5,O,087-CR-1029  -000
14346572,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,US0460,,PARIS,RD,38.0997275,-84.0071909,3.954,1/11/2015,1813,1,1,0,0,RAINING,WET,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,5,O,087-US-0460  -000
14346686,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0646,,CREAM ALLEY,RD,37.9693351,-83.925922,4.035,3/6/2015,630,1,1,0,1,SNOWING,ICE,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAWN,4,C,087-KY-0646  -000
14348021,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0421708,-83.9342138,3.518,3/6/2015,723,2,2,0,0,CLEAR,SNOW/SLUSH,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
14348023,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,QUEEN,ST,38.0599231,-83.9401193,0.203,3/12/2015,2242,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,5,O,087-CS-1080  -000
14348058,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,I 0064,,,,38.0760996,-83.9490306,0.233,3/11/2015,1514,2,2,0,0,CLEAR,DRY,FALSE,REAR END - ON RAMP,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-CR-1042  -000
14348060,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,,,SYCAMORE,ST,38.0617464,-83.9472974,0.431,3/16/2015,808,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - BOTH VEHICLES GOING STRAIGHT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-CS-1054  -000
14348062,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0011,,MAYSVILLE,RD,38.0879338,-83.9501171,10.016,3/16/2015,1106,3,3,0,0,CLEAR,DRY,FALSE,REAR END - ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DAYLIGHT,5,O,087-KY-0011  -000
14348065,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,US0460,,MAYSVILLE,ST,38.0755519,-83.9488405,8.18,3/16/2015,1535,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-US-0460  -000
14351539,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,US0460,,CAMARGO,RD,38.0015648,-83.8997307,14.163,2/17/2015,1733,2,2,0,1,CLEAR,SNOW/SLUSH,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,4,C,087-US-0460  -000
14351540,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,KY0011,,LEVEE,RD,37.9682685,-83.9382876,3.865,1/31/2015,1644,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0011  -000
14351542,MONTGOMERY CTY SHERIFF DEPT,MONTGOMERY,,,STEPSTONE,RD,38.084227,-83.8904885,0.357,2/28/2015,1624,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,4,C,087-KY-1331  -000
14356447,"KY STATE POLICE, POST 08",MONTGOMERY,KY0686,,INDIAN MOUND,DR,38.0672459,-83.955183,0.722,2/28/2015,1522,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
14357798,MT. STERLING POLICE DEPARTMENT,MONTGOMERY,KY0686,810,INDIAN MOUND,DR,38.0614933,-83.9555978,1.126,3/19/2015,1424,2,2,0,0,RAINING,WET,FALSE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,5,O,087-KY-0686  -000
